id;name;shortname
81;Renault 2.0;2.0
871;Renault 3.5;3.5
96;DSC 360W;360
102;Ferrari 488 GT3;488
95;Porsche 911;911
79;AMG GT3;AMG
23;C6R GT1;C6R
77;C7 DP;C7
71;Camping Series;CC
45;Cadillac CTS-VR;CTS
19;Cup;Cup
91;DLM Super;DLM
85;DLM Limited;DLM
90;DLM Pro;DLM
89;Dirt Legends;Drt
92;DSC 360;DSC
93;DSC 410;DSC
94;DSC 410W;DSC
87;DSC 305;DSC
86;Dirt StreetStock;DSS
63;DW12;DW
870;Dallara F3;F3
28;FR500S;FR
41;Ford GT;GT
65;Ford GT GT3;GT
73;GT1 Class;GT1
114;GT3 Bathurst;GT3
82;GT3 German;GT3
473;IMSA2 GT3;GT3
59;GT3 Class;GT3
101;IMSA GT3;GT3
100;GTE Class;GTE
83;Audi 90 GTO;GTO
84;Nissan GTP;GTP
40;HPD ARX-01c;HPD
66;Holden V8;HV8
36;Impala Class B;Imp
26;IndyCar;Ind
117;Dallara IR18;IR
24;Jetta TDI;Jet
21;K&N Series;K&N
48;Kia Optima;Kia
46;Lotus 49;L49
22;Lotus 79;L79
5;Legends;Leg
14;Late Model;LM
1105;BMW M8 GTE;M8G
4;Pro Mazda;Maz
104;Dirt Midget;Mid
78;McLaren MP4-30;MP4
47;MP4-12C;MP4
33;MX-5 Roadster;MX5
32;MX-5 Cup;MX5
74;MX5 Cup 2016;MX5
31;MX-5;MX5
116;LMP1 Class;P1
1454;Pro 2 Lite Truck;PR2
1278;Pro 4 Truck;PR4
1277;Pro 2 Truck;Pro
80;Audi R8 GT3;R8
18;Riley DP;RDP
12;Rookie Legends;RkL
13;Rookie Solstice;RkS
1450;Audi RS 3 LMS;RS3
55;Ruf RT 12R Track;Ruf
54;Ruf RT 12R RWD;Ruf
53;Ruf RT 12R AWD;Ruf
58;Ruf RT12R CSpec;Ruf
105;Rallycross;RX
1;SBRS;SBR
16;Silver Crown;Sil
2;SK Modified;SK
60;Super Late Model;SLM
3;Solstice;Sol
35;Sprint Car;Spr
50;Sprint Cup;Spr
15;SR8;SR8
20;SRF;SRF
34;Street Stock;Str
17;Truck;Trk
103;Dirt UMP Mod;UMP
25;V8SC;V8
67;V8Supercars;V8S
30;Williams FW31;WF1
29; Whelen Modified;WM
57;Xfinity Series;Xfi
1455;XFINITY Series;XFI
